INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 5.4021148681640625	Top1 accuracy: 2.1484375
DEBUG:root:Epoch: 1	Loss: 5.078143119812012	Top1 accuracy: 9.375
DEBUG:root:Epoch: 2	Loss: 4.8372697830200195	Top1 accuracy: 12.890625
DEBUG:root:Epoch: 3	Loss: 4.593055725097656	Top1 accuracy: 15.625
DEBUG:root:Epoch: 4	Loss: 4.236645221710205	Top1 accuracy: 19.140625
DEBUG:root:Epoch: 5	Loss: 4.2109456062316895	Top1 accuracy: 20.703125
DEBUG:root:Epoch: 6	Loss: 4.499209403991699	Top1 accuracy: 29.6875
DEBUG:root:Epoch: 7	Loss: 3.987020492553711	Top1 accuracy: 26.3671875
DEBUG:root:Epoch: 8	Loss: 4.053507328033447	Top1 accuracy: 26.3671875
DEBUG:root:Epoch: 9	Loss: 3.790163278579712	Top1 accuracy: 24.4140625
DEBUG:root:Epoch: 10	Loss: 3.814563751220703	Top1 accuracy: 33.984375
DEBUG:root:Epoch: 11	Loss: 3.9175539016723633	Top1 accuracy: 25.390625
DEBUG:root:Epoch: 12	Loss: 3.6351048946380615	Top1 accuracy: 30.859375
DEBUG:root:Epoch: 13	Loss: 3.4313483238220215	Top1 accuracy: 33.3984375
DEBUG:root:Epoch: 14	Loss: 3.656874656677246	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 15	Loss: 3.480646848678589	Top1 accuracy: 37.109375
DEBUG:root:Epoch: 16	Loss: 3.3523473739624023	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 17	Loss: 3.1414859294891357	Top1 accuracy: 41.796875
DEBUG:root:Epoch: 18	Loss: 3.1347687244415283	Top1 accuracy: 38.4765625
DEBUG:root:Epoch: 19	Loss: 3.2394306659698486	Top1 accuracy: 38.28125
DEBUG:root:Epoch: 20	Loss: 3.0832202434539795	Top1 accuracy: 35.546875
DEBUG:root:Epoch: 21	Loss: 3.01371693611145	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 22	Loss: 2.952925682067871	Top1 accuracy: 43.75
DEBUG:root:Epoch: 23	Loss: 3.1323580741882324	Top1 accuracy: 39.2578125
DEBUG:root:Epoch: 24	Loss: 2.6949501037597656	Top1 accuracy: 44.921875
DEBUG:root:Epoch: 25	Loss: 3.032533884048462	Top1 accuracy: 46.2890625
DEBUG:root:Epoch: 26	Loss: 3.0080363750457764	Top1 accuracy: 38.28125
DEBUG:root:Epoch: 27	Loss: 3.2785022258758545	Top1 accuracy: 44.7265625
DEBUG:root:Epoch: 28	Loss: 3.375788927078247	Top1 accuracy: 43.359375
DEBUG:root:Epoch: 29	Loss: 3.0926263332366943	Top1 accuracy: 45.703125
DEBUG:root:Epoch: 30	Loss: 2.7555837631225586	Top1 accuracy: 45.8984375
DEBUG:root:Epoch: 31	Loss: 2.503621816635132	Top1 accuracy: 40.4296875
DEBUG:root:Epoch: 32	Loss: 2.9839138984680176	Top1 accuracy: 45.1171875
DEBUG:root:Epoch: 33	Loss: 2.788611650466919	Top1 accuracy: 47.65625
DEBUG:root:Epoch: 34	Loss: 2.9671926498413086	Top1 accuracy: 45.8984375
DEBUG:root:Epoch: 35	Loss: 3.073368787765503	Top1 accuracy: 47.8515625
DEBUG:root:Epoch: 36	Loss: 2.6766114234924316	Top1 accuracy: 39.84375
DEBUG:root:Epoch: 37	Loss: 2.7416129112243652	Top1 accuracy: 47.265625
DEBUG:root:Epoch: 38	Loss: 2.4626121520996094	Top1 accuracy: 47.0703125
DEBUG:root:Epoch: 39	Loss: 2.9978880882263184	Top1 accuracy: 48.6328125
DEBUG:root:Epoch: 40	Loss: 2.386871337890625	Top1 accuracy: 47.4609375
DEBUG:root:Epoch: 41	Loss: 2.371856927871704	Top1 accuracy: 50.9765625
DEBUG:root:Epoch: 42	Loss: 2.6698966026306152	Top1 accuracy: 47.0703125
DEBUG:root:Epoch: 43	Loss: 2.792426347732544	Top1 accuracy: 45.3125
DEBUG:root:Epoch: 44	Loss: 2.7845535278320312	Top1 accuracy: 50.1953125
DEBUG:root:Epoch: 45	Loss: 2.658405303955078	Top1 accuracy: 51.3671875
DEBUG:root:Epoch: 46	Loss: 2.4329774379730225	Top1 accuracy: 55.2734375
DEBUG:root:Epoch: 47	Loss: 2.3460805416107178	Top1 accuracy: 46.6796875
DEBUG:root:Epoch: 48	Loss: 2.395260810852051	Top1 accuracy: 58.7890625
DEBUG:root:Epoch: 49	Loss: 2.501417398452759	Top1 accuracy: 48.828125
DEBUG:root:Epoch: 50	Loss: 2.3585026264190674	Top1 accuracy: 48.4375
DEBUG:root:Epoch: 51	Loss: 2.3732049465179443	Top1 accuracy: 47.65625
DEBUG:root:Epoch: 52	Loss: 2.5260448455810547	Top1 accuracy: 52.9296875
DEBUG:root:Epoch: 53	Loss: 2.6332695484161377	Top1 accuracy: 51.7578125
DEBUG:root:Epoch: 54	Loss: 2.491408348083496	Top1 accuracy: 49.8046875
DEBUG:root:Epoch: 55	Loss: 2.373440980911255	Top1 accuracy: 51.953125
DEBUG:root:Epoch: 56	Loss: 2.5048317909240723	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 57	Loss: 2.2547731399536133	Top1 accuracy: 52.5390625
DEBUG:root:Epoch: 58	Loss: 2.3126065731048584	Top1 accuracy: 54.6875
DEBUG:root:Epoch: 59	Loss: 2.307614803314209	Top1 accuracy: 55.6640625
DEBUG:root:Epoch: 60	Loss: 2.0865941047668457	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 61	Loss: 2.230189323425293	Top1 accuracy: 51.5625
DEBUG:root:Epoch: 62	Loss: 2.3818018436431885	Top1 accuracy: 52.5390625
DEBUG:root:Epoch: 63	Loss: 2.275068759918213	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 64	Loss: 2.2707161903381348	Top1 accuracy: 54.6875
DEBUG:root:Epoch: 65	Loss: 2.569061040878296	Top1 accuracy: 53.7109375
DEBUG:root:Epoch: 66	Loss: 2.2002511024475098	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 67	Loss: 2.2073614597320557	Top1 accuracy: 51.5625
DEBUG:root:Epoch: 68	Loss: 2.423452377319336	Top1 accuracy: 62.5
DEBUG:root:Epoch: 69	Loss: 1.9965245723724365	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 70	Loss: 2.0906145572662354	Top1 accuracy: 56.4453125
DEBUG:root:Epoch: 71	Loss: 2.453888416290283	Top1 accuracy: 57.6171875
DEBUG:root:Epoch: 72	Loss: 2.3691976070404053	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 73	Loss: 2.037482738494873	Top1 accuracy: 54.8828125
DEBUG:root:Epoch: 74	Loss: 2.41198468208313	Top1 accuracy: 56.8359375
DEBUG:root:Epoch: 75	Loss: 2.2511985301971436	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 76	Loss: 2.2964560985565186	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 77	Loss: 2.3041019439697266	Top1 accuracy: 57.6171875
DEBUG:root:Epoch: 78	Loss: 2.282806396484375	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 79	Loss: 2.0342419147491455	Top1 accuracy: 54.4921875
DEBUG:root:Epoch: 80	Loss: 2.0638370513916016	Top1 accuracy: 58.3984375
DEBUG:root:Epoch: 81	Loss: 2.1447336673736572	Top1 accuracy: 53.3203125
DEBUG:root:Epoch: 82	Loss: 2.2421345710754395	Top1 accuracy: 56.4453125
DEBUG:root:Epoch: 83	Loss: 2.0721848011016846	Top1 accuracy: 57.6171875
DEBUG:root:Epoch: 84	Loss: 2.1583235263824463	Top1 accuracy: 56.640625
DEBUG:root:Epoch: 85	Loss: 2.0470542907714844	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 86	Loss: 2.265080451965332	Top1 accuracy: 58.59375
DEBUG:root:Epoch: 87	Loss: 2.0014164447784424	Top1 accuracy: 55.6640625
DEBUG:root:Epoch: 88	Loss: 2.000197172164917	Top1 accuracy: 58.7890625
DEBUG:root:Epoch: 89	Loss: 1.9266877174377441	Top1 accuracy: 59.375
DEBUG:root:Epoch: 90	Loss: 2.196162462234497	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 91	Loss: 2.3124241828918457	Top1 accuracy: 62.6953125
DEBUG:root:Epoch: 92	Loss: 1.9373422861099243	Top1 accuracy: 56.25
DEBUG:root:Epoch: 93	Loss: 2.2276253700256348	Top1 accuracy: 55.46875
DEBUG:root:Epoch: 94	Loss: 1.879081130027771	Top1 accuracy: 62.6953125
DEBUG:root:Epoch: 95	Loss: 2.3631796836853027	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 96	Loss: 2.178262710571289	Top1 accuracy: 60.3515625
DEBUG:root:Epoch: 97	Loss: 2.343736171722412	Top1 accuracy: 55.2734375
DEBUG:root:Epoch: 98	Loss: 1.9097957611083984	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 99	Loss: 1.9876952171325684	Top1 accuracy: 58.984375
DEBUG:root:Epoch: 100	Loss: 2.104980707168579	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 101	Loss: 2.175704002380371	Top1 accuracy: 58.984375
DEBUG:root:Epoch: 102	Loss: 1.9336512088775635	Top1 accuracy: 62.5
DEBUG:root:Epoch: 103	Loss: 1.9048305749893188	Top1 accuracy: 68.1640625
DEBUG:root:Epoch: 104	Loss: 2.0403287410736084	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 105	Loss: 1.8863190412521362	Top1 accuracy: 60.7421875
DEBUG:root:Epoch: 106	Loss: 1.9905999898910522	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 107	Loss: 2.0151686668395996	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 108	Loss: 2.15271258354187	Top1 accuracy: 59.1796875
DEBUG:root:Epoch: 109	Loss: 1.8090674877166748	Top1 accuracy: 61.9140625
